Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-04-30 11:03:09.243,257307065737:/aws/lambda/compute_node,1521.15,1522,128,88
2021-04-30 11:02:58.890,257307065737:/aws/lambda/compute_python,1017.28,1018,128,51
2021-04-30 11:02:57.283,257307065737:/aws/lambda/compute_node,1491.58,1492,128,88
2021-04-30 11:02:49.676,257307065737:/aws/lambda/fib_python,576.06,577,128,50
2021-04-30 11:02:47.330,257307065737:/aws/lambda/compute_python,1035.14,1036,128,51
2021-04-30 11:02:45.343,257307065737:/aws/lambda/compute_node,1488.59,1489,128,88
2021-04-30 11:02:38.890,257307065737:/aws/lambda/fib_node,4.33,5,128,71
2021-04-30 11:02:38.656,257307065737:/aws/lambda/fib_python,581.07,582,128,50
2021-04-30 11:02:35.830,257307065737:/aws/lambda/compute_python,1005.9,1006,128,51
2021-04-30 11:02:33.403,257307065737:/aws/lambda/compute_node,1479.51,1480,128,87
2021-04-30 11:02:28.430,257307065737:/aws/lambda/fib_node,15.79,16,128,71
2021-04-30 11:02:27.596,257307065737:/aws/lambda/fib_python,591.65,592,128,50
2021-04-30 11:02:24.370,257307065737:/aws/lambda/compute_python,1040.65,1041,128,51
2021-04-30 11:02:21.463,257307065737:/aws/lambda/compute_node,1524.93,1525,128,87
2021-04-30 11:02:17.950,257307065737:/aws/lambda/fib_node,29.93,30,128,71
2021-04-30 11:02:16.556,257307065737:/aws/lambda/fib_python,578.43,579,128,50
2021-04-30 11:02:12.870,257307065737:/aws/lambda/compute_python,1013.8,1014,128,51
2021-04-30 11:02:09.263,257307065737:/aws/lambda/compute_node,1483.14,1484,128,87
2021-04-30 11:02:07.468,257307065737:/aws/lambda/fib_node,35.44,36,128,71
2021-04-30 11:02:05.516,257307065737:/aws/lambda/fib_python,569.16,570,128,50
2021-04-30 11:02:01.412,257307065737:/aws/lambda/compute_python,991.94,992,128,51
2021-04-30 11:01:57.303,257307065737:/aws/lambda/compute_node,1511.89,1512,128,87
2021-04-30 11:01:57.008,257307065737:/aws/lambda/fib_node,20.68,21,128,71
2021-04-30 11:01:54.497,257307065737:/aws/lambda/fib_python,568.17,569,128,50
2021-04-30 11:01:49.970,257307065737:/aws/lambda/compute_python,1025.68,1026,128,51
2021-04-30 11:01:46.528,257307065737:/aws/lambda/fib_node,6.2,7,128,71
2021-04-30 11:01:45.342,257307065737:/aws/lambda/compute_node,1493.17,1494,128,87
2021-04-30 11:01:43.496,257307065737:/aws/lambda/fib_python,575.47,576,128,50
2021-04-30 11:01:38.490,257307065737:/aws/lambda/compute_python,1008.11,1009,128,51
2021-04-30 11:01:36.088,257307065737:/aws/lambda/fib_node,18.27,19,128,71
2021-04-30 11:01:33.403,257307065737:/aws/lambda/compute_node,1498.03,1499,128,87
2021-04-30 11:01:32.476,257307065737:/aws/lambda/fib_python,581.22,582,128,50
2021-04-30 11:01:27.029,257307065737:/aws/lambda/compute_python,1006.22,1007,128,51
2021-04-30 11:01:25.628,257307065737:/aws/lambda/fib_node,36.75,37,128,71
2021-04-30 11:01:21.463,257307065737:/aws/lambda/compute_node,1506.34,1507,128,87
