Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-05-03 13:24:48.284,257307065737:/aws/lambda/compute_python,992.76,993,128,51
2021-05-03 13:24:46.765,257307065737:/aws/lambda/compute_python,1004.62,1005,128,51
2021-05-03 13:24:45.324,257307065737:/aws/lambda/compute_python,998.84,999,128,51
2021-05-03 13:24:43.884,257307065737:/aws/lambda/compute_python,993.29,994,128,51
2021-05-03 13:24:42.445,257307065737:/aws/lambda/compute_python,1002.77,1003,128,51
2021-05-03 13:24:40.985,257307065737:/aws/lambda/compute_python,995.06,996,128,51
2021-05-03 13:24:39.912,257307065737:/aws/lambda/compute_node,1442.6,1443,128,94
2021-05-03 13:24:39.487,257307065737:/aws/lambda/compute_python,978.59,979,128,51
2021-05-03 13:24:38.065,257307065737:/aws/lambda/compute_python,991.1,992,128,51
2021-05-03 13:24:38.012,257307065737:/aws/lambda/compute_node,1379.97,1380,128,86
2021-05-03 13:24:36.624,257307065737:/aws/lambda/compute_python,1003.68,1004,128,51
2021-05-03 13:24:36.192,257307065737:/aws/lambda/compute_node,1375.74,1376,128,86
2021-05-03 13:24:35.164,257307065737:/aws/lambda/compute_python,990.3,991,128,50
2021-05-03 13:24:34.353,257307065737:/aws/lambda/compute_node,1344.1,1345,128,86
2021-05-03 13:24:33.724,257307065737:/aws/lambda/compute_python,990.09,991,128,50
2021-05-03 13:24:33.501,257307065737:/aws/lambda/fib_node,6.06,7,128,69
2021-05-03 13:24:32.572,257307065737:/aws/lambda/compute_node,1357.13,1358,128,86
2021-05-03 13:24:32.558,257307065737:/aws/lambda/fib_python,584.65,585,128,48
2021-05-03 13:24:32.482,257307065737:/aws/lambda/fib_node,15.56,16,128,69
2021-05-03 13:24:32.285,257307065737:/aws/lambda/compute_python,994.78,995,128,50
2021-05-03 13:24:31.519,257307065737:/aws/lambda/fib_python,552.2,553,128,48
2021-05-03 13:24:31.481,257307065737:/aws/lambda/fib_node,20.45,21,128,69
2021-05-03 13:24:30.845,257307065737:/aws/lambda/compute_python,1002.16,1003,128,50
2021-05-03 13:24:30.519,257307065737:/aws/lambda/fib_python,584.53,585,128,48
2021-05-03 13:24:30.481,257307065737:/aws/lambda/fib_node,19.94,20,128,69
2021-05-03 13:24:29.479,257307065737:/aws/lambda/fib_python,605.27,606,128,48
2021-05-03 13:24:29.461,257307065737:/aws/lambda/fib_node,13.86,14,128,69
2021-05-03 13:24:29.405,257307065737:/aws/lambda/compute_python,1005.08,1006,128,50
2021-05-03 13:24:28.581,257307065737:/aws/lambda/fib_node,139.51,140,128,69
2021-05-03 13:24:28.419,257307065737:/aws/lambda/fib_python,567.35,568,128,48
2021-05-03 13:24:27.945,257307065737:/aws/lambda/compute_python,1003.47,1004,128,50
2021-05-03 13:24:27.441,257307065737:/aws/lambda/fib_node,11.97,12,128,69
2021-05-03 13:24:27.419,257307065737:/aws/lambda/fib_python,570.93,571,128,48
2021-05-03 13:24:26.485,257307065737:/aws/lambda/compute_python,1005.34,1006,128,50
2021-05-03 13:24:26.441,257307065737:/aws/lambda/fib_node,30.44,31,128,68
2021-05-03 13:24:26.399,257307065737:/aws/lambda/fib_python,578.77,579,128,48
2021-05-03 13:24:25.401,257307065737:/aws/lambda/fib_node,4.51,5,128,68
2021-05-03 13:24:25.379,257307065737:/aws/lambda/fib_python,577.4,578,128,48
2021-05-03 13:24:25.044,257307065737:/aws/lambda/compute_python,1006.85,1007,128,50
2021-05-03 13:24:24.401,257307065737:/aws/lambda/fib_node,4.11,5,128,68
2021-05-03 13:24:24.359,257307065737:/aws/lambda/fib_python,570.66,571,128,48
2021-05-03 13:24:23.942,257307065737:/aws/lambda/fib_node,15.79,16,128,68
2021-05-03 13:24:23.585,257307065737:/aws/lambda/compute_python,990.01,991,128,50
2021-05-03 13:24:23.481,257307065737:/aws/lambda/fib_node,12.89,13,128,68
2021-05-03 13:24:23.339,257307065737:/aws/lambda/fib_python,572.68,573,128,48
2021-05-03 13:24:23.021,257307065737:/aws/lambda/fib_node,10.35,11,128,68
2021-05-03 13:24:22.581,257307065737:/aws/lambda/fib_node,20.25,21,128,68
2021-05-03 13:24:22.318,257307065737:/aws/lambda/fib_python,575.88,576,128,48
2021-05-03 13:24:22.147,257307065737:/aws/lambda/compute_python,990.74,991,128,50
2021-05-03 13:24:22.121,257307065737:/aws/lambda/fib_node,17.69,18,128,68
2021-05-03 13:24:21.661,257307065737:/aws/lambda/fib_node,14.64,15,128,68
2021-05-03 13:24:21.392,257307065737:/aws/lambda/compute_node,1474.91,1475,128,85
2021-05-03 13:24:21.278,257307065737:/aws/lambda/fib_python,573.7,574,128,48
2021-05-03 13:24:21.201,257307065737:/aws/lambda/fib_node,31.96,32,128,68
2021-05-03 13:24:20.741,257307065737:/aws/lambda/fib_node,5.85,6,128,68
2021-05-03 13:24:20.725,257307065737:/aws/lambda/compute_python,1022.32,1023,128,50
2021-05-03 13:24:20.301,257307065737:/aws/lambda/fib_node,34.26,35,128,68
2021-05-03 13:24:20.259,257307065737:/aws/lambda/fib_python,570.61,571,128,48
2021-05-03 13:24:19.821,257307065737:/aws/lambda/fib_node,144.65,145,128,67
