Timestamp,log,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2021-05-03 12:14:09.124,257307065737:/aws/lambda/compute_node,1389.57,1390,128,88
2021-05-03 12:14:07.284,257307065737:/aws/lambda/compute_node,1408.9,1409,128,88
2021-05-03 12:14:05.424,257307065737:/aws/lambda/compute_node,1439.93,1440,128,88
2021-05-03 12:14:03.524,257307065737:/aws/lambda/compute_node,1449.89,1450,128,88
2021-05-03 12:14:01.624,257307065737:/aws/lambda/compute_node,1419.19,1420,128,88
2021-05-03 12:14:01.146,257307065737:/aws/lambda/compute_python,1061.94,1062,128,53
2021-05-03 12:13:59.744,257307065737:/aws/lambda/compute_node,1421.56,1422,128,88
2021-05-03 12:13:59.627,257307065737:/aws/lambda/compute_python,1008.86,1009,128,53
2021-05-03 12:13:58.166,257307065737:/aws/lambda/compute_python,1022.38,1023,128,53
2021-05-03 12:13:57.864,257307065737:/aws/lambda/compute_node,1430.44,1431,128,88
2021-05-03 12:13:56.708,257307065737:/aws/lambda/compute_python,1004.8,1005,128,53
2021-05-03 12:13:55.984,257307065737:/aws/lambda/compute_node,1424,1424,128,87
2021-05-03 12:13:55.248,257307065737:/aws/lambda/compute_python,988.42,989,128,53
2021-05-03 12:13:54.104,257307065737:/aws/lambda/compute_node,1441.77,1442,128,87
2021-05-03 12:13:53.806,257307065737:/aws/lambda/compute_python,1035.54,1036,128,53
2021-05-03 12:13:52.326,257307065737:/aws/lambda/compute_python,1064.33,1065,128,53
2021-05-03 12:13:52.224,257307065737:/aws/lambda/compute_node,1451.68,1452,128,87
2021-05-03 12:13:51.715,257307065737:/aws/lambda/fib_python,563.46,564,128,50
2021-05-03 12:13:50.806,257307065737:/aws/lambda/compute_python,1036.73,1037,128,52
2021-05-03 12:13:50.715,257307065737:/aws/lambda/fib_python,559.26,560,128,50
2021-05-03 12:13:50.324,257307065737:/aws/lambda/compute_node,1433.58,1434,128,87
2021-05-03 12:13:49.695,257307065737:/aws/lambda/fib_python,553.79,554,128,50
2021-05-03 12:13:49.327,257307065737:/aws/lambda/compute_python,1016.67,1017,128,52
2021-05-03 12:13:48.695,257307065737:/aws/lambda/fib_python,553.11,554,128,50
2021-05-03 12:13:48.424,257307065737:/aws/lambda/compute_node,1420.99,1421,128,87
2021-05-03 12:13:47.706,257307065737:/aws/lambda/compute_python,1030.13,1031,128,52
2021-05-03 12:13:47.455,257307065737:/aws/lambda/fib_python,548.67,549,128,49
2021-05-03 12:13:46.524,257307065737:/aws/lambda/compute_node,1460.89,1461,128,86
2021-05-03 12:13:46.455,257307065737:/aws/lambda/fib_python,556.49,557,128,49
2021-05-03 12:13:46.226,257307065737:/aws/lambda/compute_python,1007.01,1008,128,52
2021-05-03 12:13:45.590,257307065737:/aws/lambda/fib_node,12.16,13,128,71
2021-05-03 12:13:45.456,257307065737:/aws/lambda/fib_python,556.52,557,128,49
2021-05-03 12:13:44.786,257307065737:/aws/lambda/compute_python,1044.04,1045,128,51
2021-05-03 12:13:44.624,257307065737:/aws/lambda/compute_node,1415.81,1416,128,86
2021-05-03 12:13:44.591,257307065737:/aws/lambda/fib_node,23.52,24,128,71
2021-05-03 12:13:44.455,257307065737:/aws/lambda/fib_python,565.13,566,128,49
2021-05-03 12:13:43.571,257307065737:/aws/lambda/fib_node,18.83,19,128,71
2021-05-03 12:13:43.436,257307065737:/aws/lambda/fib_python,560.28,561,128,49
2021-05-03 12:13:43.288,257307065737:/aws/lambda/compute_python,993.22,994,128,51
2021-05-03 12:13:42.764,257307065737:/aws/lambda/compute_node,1405.19,1406,128,86
